Date,Motilal_Oswal_Flexi_Cap_Fund_Direct_Growth_NAV,Union_Flexi_Cap_Fund_Direct_Growth_NAV,Polycab,Trent,Kalyan Jewellers India,JIO Financial Services,Coforge,Persistent Systems,Mahindra & Mahindra,Zomato,AIRTELPP,Cholamandalam Invest,Tube Investments of India,Bharti Airtel,Larsen & Toubro,ICICI Bank,BSE,Max Healthcare Institute,Tata Elxsi,Electrosteel Castings
2016-02-10,15.66,13.64,,147.35,,,505.15,299.24,591.15,,,137.93,,285.83,747.07,188.41,,,998.25,19.35
2016-02-09,15.9,13.4,,147.09,,,508.9,305.26,591.6,,,136.89,,286.7,742.8,190.36,,,1023.65,20
2016-02-08,16.16,13.39,,149.12,,,525.3,310.94,600.88,,,140.33,,285.55,753.53,189.59,,,1054.3,20.15
2016-02-05,16.31,13.6,,147.66,,,528.65,317.85,609.75,,,137.84,,282.06,759.93,190.36,,,1059.3,19.9
2016-02-04,16.02,13.4,,148.03,,,546.9,319.97,602.25,,,134.49,,279.36,757.13,185.41,,,1037.9,19.5
2016-02-03,16.11,13.66,,148.31,,,539.3,321.12,601.5,,,130.77,,275.27,739.2,185.5,,,1073.47,20.25
2016-02-02,16.27,13.97,,152.67,,,549.65,328.01,603.33,,,128.66,,277.47,747.93,191.27,,,1149.3,20.6
2016-02-01,16.41,14.04,,155.04,,,531.45,332.65,613.17,,,129.27,,272.33,748.03,197.45,,,1125.17,21.1
2016-01-29,16.34,14.02,,155.78,,,551.7,330.75,616.62,,,126.4,,266.18,734.43,209.23,,,1041.3,22.25
2016-01-28,16.16,14.14,,155.41,,,532.2,330.75,602.08,,,125.15,,267.56,716.33,212,,,995.2,22.8
2016-01-27,16.17,14.24,,156.35,,,530.85,318.7,588.35,,,124.53,,273.43,738.53,215.73,,,977.1,22.8
2016-01-25,16.14,14.17,,158.06,,,511.55,316.51,589.15,,,120.9,,273.16,742.77,214.59,,,913.38,22.1
2016-01-22,16.19,14.54,,161.95,,,480.65,303.68,599.45,,,122.51,,274.26,761.47,211.59,,,879.15,21.75
2016-01-21,16.18,14.6,,161.24,,,489.6,293.73,569.35,,,123.38,,283.99,735.13,205.73,,,856.7,19.9
2016-01-20,16.23,14.63,,159.71,,,445.5,303.06,575.38,,,118.99,,284.27,744.07,204,,,850.55,20.35
2016-01-19,16.51,14.94,,162.59,,,473.85,298.57,576.25,,,121.71,,284.91,748.63,207.95,,,864.25,21.65
2016-01-18,16.32,14.86,,159.32,,,487.35,306.98,582.83,,,119.82,,275.68,722.37,202.82,,,832.33,20.55
2016-01-15,16.81,14.85,,162.5,,,514.6,298.79,588.6,,,122.45,,281.05,738.6,204.05,,,891.45,21.85
2016-01-14,16.99,14.9,,163.57,,,570.3,308.17,594.27,,,125.16,,283.49,756.43,214.32,,,945.17,23.8
2016-01-13,17,14.88,,166.42,,,546.4,311.02,602.52,,,124.9,,283.35,771.17,217.73,,,966.3,23.45
2016-01-12,17.02,14.82,,167.03,,,556.5,312.04,590.95,,,128.83,,289.59,786.1,215.23,,,1009.15,25
2016-01-11,17.11,14.79,,170.38,,,542.05,314.39,581.3,,,128.13,,294.87,782.23,217.68,,,1012.35,26.05
2016-01-08,17.25,14.68,,171.16,,,536,308.25,599,,,129.78,,297.35,786.07,222.77,,,1026.12,25.35
2016-01-07,17.13,14.74,,162.63,,,537.8,314.21,598.73,,,128.58,,295.98,804.27,224.32,,,1041.75,23.1
2016-01-06,17.48,14.63,,165.31,,,568.95,312.76,613.08,,,129.57,,295.84,824.57,227.36,,,1084.12,24.9
2016-01-05,17.46,14.77,,168.17,,,573.1,320.75,624.6,,,128.38,,296.98,837.93,233.36,,,1090.03,23.9
2016-01-04,17.55,14.56,,170.82,,,580.5,320.12,621.25,,,128.08,,300.06,837.3,232.32,,,1105.97,22.6
2016-01-01,17.83,14.51,,175.31,,,577.6,322.92,632.67,,,127.75,,312.64,859.47,239.09,,,1125.38,23.1
2015-12-31,17.58,14.44,,175.01,,,579.55,323.87,636.17,,,128.37,,312.55,850.3,237.59,,,1122.03,22.75
2015-12-30,17.4,14.39,,175.83,,,576.4,320.12,631.5,,,128.35,,305.85,855.67,238.5,,,1121.5,22.2
2015-12-29,17.51,14.52,,175.06,,,578.8,323.29,632.3,,,128.24,,307.82,859.7,240.68,,,1128.6,22.25
2015-12-28,17.51,14.44,,171.06,,,584.9,321.25,624.7,,,130.59,,304.61,863.43,240.05,,,1123.28,21.2
2015-12-24,17.35,14.64,,168.84,,,586.85,322.69,628.88,,,131.23,,310.76,863,234.5,,,1133.92,20.5
2015-12-23,17.35,14.78,,168.66,,,592.3,324.54,625.92,,,130.96,,305.16,860.67,238.05,,,1141.67,21.25
2015-12-22,17.23,14.79,,160,,,589.45,327.48,628.27,,,129.16,,296.76,853.47,235.95,,,1130.67,21.15
